./normal/GSM1112836.count	./normal/GSM916094.count	./cancer/CEMT_19.count	./cancer/CEMT_22.count	./cancer/CEMT_47.count
FRS3	583	975	412154	277819	596494
FRY	1115	2417	2594337	2027162	5052036
FRY-AS1	68	97	6222	6756	11784
FRYL	67	6775	10315135	2655836	6463502
FRZB	182	433	99593	101586	197145
FSBP	0	16	43719	34631	57571
FSCB	0	0	0	0	0
FSCN1	3234	5498	3217594	515972	2315868
FSCN2	26	11	4088	2702	1172
FSCN3	0	2	220668	176659	259502
FSD1	20	2539	2563401	1774972	5614787
FSD1L	1913	2564	2495787	1878698	1625529
FSD2	0	113	71877	98659	75497
FSHB	0	5	820	1932	450
FSHR	0	0	884	116	0
FSIP1	2	174	19642	2221	7085
FSIP2	105	131	49348	34691	12875
FST	5	108	48270	21110	48792
FSTL1	7	2134	838599	429818	2864347
FSTL3	18	1064	233086	142009	315563
FSTL4	46	141	454108	6256	6503
FSTL5	1	291	515984	16367	7280
FTCD	480	455	21836	141793	261876
FTCD-AS1	1	0	137	613	2692
FTCDNL1	61	78	68293	27068	52054
FTH1	4252	8160	42498153	73976909	79783739
FTH1P1	11	10	300	1897	1160
FTH1P10	7	3	3014330	4513130	3724690
FTH1P11	17	50	624460	871180	707672
FTH1P12	26	67	208765	304758	227060
FTH1P14	0	0	0	0	0
FTH1P15	48	75	2690	1407	650
FTH1P16	23	180	30363	48331	47376
FTH1P18	0	0	0	0	0
FTH1P19	22	28	150	199	418
FTH1P2	468	392	1726702	2190740	2064470
FTH1P20	114	229	1099860	1373950	1449410
FTH1P21	0	2	0	0	0
FTH1P22	0	0	0	0	0
FTH1P23	120	207	94177	188411	111437
FTH1P24	0	2	1527	150	607
FTH1P25	0	6	1917	977	338
FTH1P26	2	0	0	0	0
FTH1P27	3	2	58	150	0
FTH1P3	27	78	18516	26616	20891
FTH1P4	13	40	5541	4884	1515
FTH1P5	14	63	25608	25160	26496
FTH1P6	0	0	231	0	0
FTH1P7	702	1536	290397	408907	368420
FTH1P8	1857	4229	840834	915434	697509
FTH1P9	0	0	0	0	0
FTHL17	0	0	0	0	0
FTL	4895	104793	4986754	2544248	3159483
FTLP1	0	0	0	289	0
FTLP10	2	5	0	0	0
FTLP12	0	1	141	1585	0
FTLP13	0	0	0	0	0
FTLP14	0	19	0	0	0
FTLP15	3	9	0	0	0
FTLP16	2	0	0	0	0
FTLP17	0	3	0	0	0
FTLP18	0	0	0	0	0
FTLP19	0	3	0	0	0
FTLP2	384	1089	10615	4883	7856
FTLP3	3961	19756	1405837	666087	739527
FTLP4	0	0	0	0	0
FTLP5	1	9	0	237	91
FTLP6	0	9	918	2568	300
FTLP8	0	1	132	150	69
FTMT	0	0	0	0	0
FTO	3	994	8158403	4282423	8826329
FTO-IT1	0	26	11789	7450	8712
FTOP1	2	53	4194	6573	3926
FTSJ1	390	800	3140315	2431939	5743839
FTSJ2	278	957	1251275	638194	1425015
FTSJ3	1171	2187	1612116	1206041	2184099
FTX	792	1429	360564	293520	289500
FUBP1	16	2460	5479329	1104349	7475302
FUBP3	1650	2484	3879626	2224398	3914923
FUCA1	203	438	115867	94445	125391
FUCA1P1	0	0	2882	450	450
FUCA2	236	991	201428	191377	126134
FUK	11	1431	985821	564425	1581217
FUNDC1	321	979	356881	354748	519735
FUNDC2	858	2035	3061291	3965118	4474591
FUNDC2P2	12	77	450	0	0
FUNDC2P3	6	11	1139	786	174
FUNDC2P4	1	2	75	0	0
FUOM	42	145	27553	16984	17725
FURIN	45	2674	889806	293747	999129
FUS	67	9882	40497088	16576364	45688272
FUT1	4	224	17044	12710	11097
FUT10	2	239	621181	243991	551706
FUT11	713	2028	605574	354077	1063212
FUT2	33	744	59403	54969	21769
FUT3	0	12	19714	179491	37940
FUT4	4	213	87300	8323	17399
FUT5	0	2	538821	558900	1067623
FUT6	3	4	3349	28050	3941
FUT7	16	16	7969	4533	1800
FUT8	44	2860	4055918	1413688	3950551
FUT9	1742	4299	1824051	807106	1871559
FUZ	13	860	2123030	1378692	2860366
FXN	5	417	510130	369063	721370
FXR1	138	7185	13416575	9726110	17645665
FXR2	49	3930	2190252	1494813	2769247
FXYD1	3	295	2584938	689944	61396
FXYD2	0	58	94856	111237	182692
FXYD3	3	171	67517	38354	28036
FXYD4	99	80	220	0	381
FXYD5	8	1031	661503	625653	2695124
FXYD6	40	5918	102741651	71518531	480729730
FXYD6-FXYD2	0	0	1855725	1184376	9988362
FXYD6P1	1	51	0	0	43
FXYD6P2	3	3	0	0	21
FXYD6P3	0	0	0	0	0
FXYD7	41	2925	633561	5701044	7839
FYB	17	1618	398518	205733	261401
FYCO1	445	1567	541053	179272	467606
FYN	2391	8186	66061477	36535098	105407960
FYTTD1	23	2503	3374564	2308761	4515967
FYTTD1P1	8	13	150	0	298
FZD1	0	427	156429	43248	200904
FZD10	66	85	15442	27506	102536
FZD10-AS1	181	346	52421	269068	66229
FZD2	53	127	9614	13226	9300
FZD3	48	4598	1989130	288170	157017
FZD4	4	1072	263825	137128	836009
FZD5	189	366	37860	26141	70897
FZD6	4	346	450304	536970	894987
FZD7	284	467	99293	14207	32944
FZD8	185	389	97759	8948	35530
FZD9	78	265	25724	4200	6825
FZR1	28	3491	2733119	1174472	3134289
G0S2	5	227	4804	5847	3271
G2E3	554	817	1185979	1011351	1844764
G3BP1	1952	3920	6995879	4518082	12705084
G3BP2	27	3937	10216411	4371465	9035593
G6PC	230	450	9029	2251	6372
G6PC2	10	6	104912	301895	95377
G6PC3	1083	2237	5316042	2768849	7569712
G6PD	851	1749	1693038	1158560	2755905
GAA	1567	2147	2520846	1386816	5473641
GAB1	34	4729	4731615	1763023	6945236
GAB2	247	19667	4094514	4003659	7292714
GAB3	210	491	86846	47159	79631
GAB4	0	0	0	0	0
GABARAP	15	595	21416204	16441821	34305202
GABARAPL1	45	9812	11734087	4917127	10538218
GABARAPL2	43	8908	6366730	9401983	8016018
GABARAPL3	10	112	3719	1996	1708
GABBR1	8228	21289	95801983	36152353	101141194
GABBR2	6089	12356	3424745	341809	761765
GABPA	14	945	1442222	1200949	1924996
GABPB1	3	377	1042434	467798	1587132
GABPB1-AS1	82	1288	1001318	855094	429932
GABPB2	253	5163	705804	857928	783292
GABRA1	1962	4145	3938449	106509	860352
GABRA2	18	3699	3908107	169383	17238
GABRA3	200	720	2041439	684614	4206373
GABRA4	5	973	582874	55754	17020
GABRA5	11	3176	1348032	32326	7678
GABRA6	7	14	8855	450	40
GABRB1	49	2536	1508442	177525	224919
GABRB2	3800	7681	2217353	41649	144456
GABRB3	15	3184	14453367	3815815	14974561
GABRD	302	919	430015	24838	84646
GABRE	59	208	73348	58561	38522
GABRG1	17	4346	532708	282656	114543
GABRG2	747	2032	6508586	2328653	8250030
GABRG3	1	44	37614	327	672
GABRP	0	9	2147	0	7166
GABRQ	189	369	198290	44977	95276
GABRR1	4	3	776	0	1121
GABRR2	3	18	6714	7901	7923
GABRR3	0	0	256	225	0
GACAT1	0	0	0	0	0
GAD1	447	1184	6230297	5982647	1426400
GAD2	251	516	727681	9103	971
GADD45A	11	1498	338957	389263	505787
GADD45B	36	2065	869634	1295798	386529
GADD45G	62	148	1933012	970757	491546
GADD45GIP1	26	3101	1038855	373402	944968
GADL1	4	2	2778	0	0
GAGE1	0	0	0	0	0
GAGE10	3	6	187	520	248
GAGE12B	0	0	0	6	74
GAGE12C	0	0	0	0	0
GAGE12D	0	0	0	0	0
GAGE12E	0	0	0	75	0
GAGE12F	0	0	0	0	0
GAGE12G	0	0	0	72	0
GAGE12H	0	0	0	0	0
GAGE12I	0	0	0	41	0
GAGE12J	0	0	75	0	0
GAGE13	0	0	0	68	0
GAGE2A	0	0	0	74	47
GAGE2B	0	0	0	0	0
GAGE2C	0	0	75	0	75
GAGE2D	0	0	44	0	75
GAGE2E	0	0	97	0	0
GAK	46	4330	7339122	1980173	4380149
GAL	0	7	739	205	0
GAL3ST1	834	683	1652027	1923428	7728135
GAL3ST2	3	2	8960	20854	15684
GAL3ST3	1	279	628561	404549	1769911
GAL3ST4	15	1182	1006788	365247	803183
GALC	11	2315	4411010	982567	2379355
GALE	349	699	765260	392016	676758
GALK1	240	408	841022	433923	1334610
GALK2	5	536	2098485	1501751	2754489
GALM	15	648	72887	31361	30406
GALNS	16	1153	1001147	610420	1732556
GALNT1	1010	1703	3839602	2200315	6423118
GALNT10	1246	2439	5669014	1887753	6767687
GALNT11	10	2413	6583571	2081646	5277891
GALNT12	64	98	28259	11117	29118
GALNT13	728	1065	8143053	8976787	35824808
GALNT14	2	194	166729	138664	722741
GALNT15	841	2168	1995674	765078	432966
GALNT16	19	3459	2641038	702399	386761
GALNT18	225	1115	430853	90425	240468
GALNT2	7	1607	2529191	785869	3300900
GALNT3	44	95	23462	17001	6832
GALNT4	0	7	75143	47844	84291
GALNT5	1	7	1570	0	937
GALNT6	46	1862	18153	31517	30711
GALNT7	4	863	437518	316524	432648
GALNT8	0	24	209562	134767	195093
GALNT9	1269	2648	988819	1272093	5519537
GALNTL5	0	101	91363	1381	0
GALNTL6	0	166	89919	6947	53102
GALP	0	1	1206	300	148
GALR1	0	6	67152	21422	71818
GALR2	3	3	960	225	600
GALR3	5	16	8134	5429	4770
GALT	15	1501	1984221	2291494	6939071
GAMT	42	2370	771112	504070	1236400
GAMTP2	0	0	0	0	0
GAN	46	3025	977816	443751	660522
GANAB	1217	4791	19542019	8702192	44715220
GANC	6	768	984367	574082	1193300
GAP43	4447	21844	3053745	1914973	5212103
GAPDH	1755	17142	200737270	189694827	442173472
GAPDHP1	1720	6520	169552	162557	397883
GAPDHP14	0	5	0	0	0
GAPDHP15	0	4	2980	5481	17253
GAPDHP16	0	0	233	0	150
GAPDHP17	0	0	0	0	0
GAPDHP19	0	0	0	0	0
GAPDHP2	0	10	1281	885	1843
GAPDHP20	1	9	1902	1569	566
GAPDHP21	3	12	0	0	0
GAPDHP22	1	2	817	739	133
GAPDHP23	0	8	0	0	225
GAPDHP24	0	0	0	0	0
GAPDHP25	0	0	0	0	0
GAPDHP26	0	0	55	0	0
GAPDHP27	0	10	420	332	300
GAPDHP28	2	2	150	0	0
GAPDHP29	0	0	150	0	0
GAPDHP31	0	1	0	0	21
GAPDHP32	2	6	1142	150	300
GAPDHP33	0	4	1925	300	1338
GAPDHP34	0	0	276	75	186
GAPDHP36	0	0	0	456	0
GAPDHP37	7	16	1752	1433	147
GAPDHP38	44	88	1662	1409	332
GAPDHP39	0	37	3924	3455	2029
GAPDHP40	139	1340	631	150	825
GAPDHP41	0	1	133	124	0
GAPDHP42	3	26	15625	5318	6046
GAPDHP44	7	21	739	450	1200
GAPDHP45	10	20	751	467	97
GAPDHP46	0	3	436	488	399
GAPDHP47	0	2	0	150	271
GAPDHP48	0	0	0	0	150
GAPDHP49	3	9	150	0	150
GAPDHP50	0	0	0	0	0
GAPDHP51	0	1	482	284	423
GAPDHP52	3	8	1339	644	525
GAPDHP53	0	0	0	0	0
GAPDHP54	0	0	149	0	0
GAPDHP55	0	89	2752	1607	805
GAPDHP56	0	0	0	0	0
GAPDHP57	0	0	150	0	0
GAPDHP58	0	2	150	0	0
GAPDHP59	2	0	1605	218	2275
GAPDHP60	814	2811	4576	877	890
GAPDHP61	27	76	12550	13760	3202
GAPDHP62	0	4	10058	7071	18552
GAPDHP63	63	271	209	54	477
GAPDHP64	2	14	0	0	0
GAPDHP65	1807	6270	5174	4123	3000
GAPDHP66	183	293	14935	6918	6918
GAPDHP67	0	0	0	0	0
GAPDHP68	0	5	0	0	0
GAPDHP69	5	16	150	0	0
GAPDHP70	324	1394	150	0	75
GAPDHP71	28	104	2349	0	958
GAPDHP72	71	424	300	225	900
GAPDHP73	3	65	150	75	150
GAPDHS	0	4	27787	52058	29682
GAPT	0	96	11719	7513	6096
GAPVD1	1487	2850	15861595	7246597	17283935
GAR1	1	778	633729	238943	594522
GAREM	1588	2460	535464	145073	389525
GAREML	20	2182	3981548	2450887	1691315
GARNL3	1006	2047	2698464	1184592	1483964
GARS	846	3475	3878583	2308363	6368789
GART	14	1159	6615109	4472106	11897346
GAS1	0	289	1005810	199444	388588
GAS2	87	208	136452	27532	40046
GAS2L1	1901	2519	6630997	4272734	2501066
GAS2L2	35	136	2763	2175	600
GAS2L3	3	99	117266	23440	323318
GAS5	149	2000	20138358	135150638	71051251
GAS5-AS1	1	68	16426	134266	35752
GAS6	1523	1774	2483209	1164634	2429010
GAS6-AS1	3	6	32129	12665	25770
GAS6-AS2	31	99	15216	8599	13916
GAS7	175	20265	9467163	1181152	538554
GAS8	3	839	1694801	1054372	2384032
GAST	3	7	300	2001	612
GATA1	9	7	3227	1271	1805
GATA2	4	299	502898	167358	227498
GATA3	1	11	3211	11272	83623
GATA3-AS1	0	0	322	900	447
GATA4	2	18	4539	1721	1200
GATA5	0	1	2766	300	0
GATA6	5	6	34359	2171	46418
GATA6-AS1	4	1	6841	476	883
GATAD1	137	5472	718042	709612	1339331
GATAD2A	26	2888	5496415	3893059	10904771
GATAD2B	41	5205	2623761	1222459	3885331
GATC	487	694	398082	303551	961406
GATM	117	11965	3865163	675327	242011
GATS	83	5897	7260977	5341849	6716822
GATSL1	0	0	112575	72445	119613
GATSL2	0	0	146709	86436	147913
GATSL3	60	97	1222462	1106985	397045
GBA	4	556	5259367	2431571	7715712
GBA2	43	3677	2785245	1824616	6514442
GBA3	2	21	0	0	1192
GBAP1	1	439	2031604	1158881	2633169
GBAS	806	3517	5866992	5484965	8188333
GBE1	131	511	536713	403365	560207
GBF1	677	2644	2282062	1029388	5154243
GBGT1	196	368	114301	34774	137562
GBP1	3	646	109707	90127	174100
GBP1P1	0	244	8031	9390	12637
GBP2	4	1035	157520	151918	259484
GBP3	4	508	522517	259983	480339
GBP4	12	874	181227	62466	434138
GBP5	0	46	13773	6191	40779
GBP6	0	199	3429	900	1196
GBP7	0	45	1729	362	1122
GBX1	0	4	490	482	829
GBX2	0	12	8154	57118	6115
GC	122	1704	1310	0	0
GCA	1171	1681	426342	575244	440884
GCAT	638	1197	857211	316470	1294556
GCC1	6	751	352458	152364	395787
GCC2	5674	9670	3105340	1914033	3864488
GCDH	9	1087	2928383	2362544	3918518
GCFC2	1460	2119	1000494	663830	1011083
GCG	1	2	741	0	0
GCGR	14	29	1027	1805	889
GCH1	4	342	59386	89741	86528
GCHFR	7	345	185272	54996	152977
GCK	80	194	83153	35956	10446
GCKR	2	67	19969	31077	46990
GCLC	1228	1979	2083146	2992350	2572463
GCLM	46	1938	265963	150421	166506
GCM1	4	2	449	150	525
GCM2	22	30	13962	8171	2437
GCN1L1	933	2238	2604345	969489	3777464
GCNT1	2	268	113267	33571	43815
GCNT1P1	0	7	3352	405	308
GCNT1P2	0	4	505	0	0
GCNT1P3	0	28	802	150	712
GCNT1P4	0	0	0	0	0
GCNT1P5	0	0	0	0	0
GCNT2	158	327	1613861	1128633	2136255
GCNT3	0	20	1245	631	1281
GCNT4	0	23	15822	4050	4275
GCNT6	0	4	5355	1472	2962
GCNT7	1	53	5833	4349	3139
GCOM1	0	2	1760188	1527938	2732300
GCOM2	9	101	292119	298310	464502
GCSAM	1	6	1807	1776	1986
GCSAML	1	6	1500	750	5661
GCSAML-AS1	0	8	0	0	0
GCSH	8	384	996983	1432641	1812766
GCSHP1	0	0	0	0	0
GCSHP2	0	0	75	0	0
GCSHP3	0	0	126141	66604	168689
GCSHP4	0	1	772	150	358
GCSHP5	18	844	419988	521983	764412
GDA	25	3935	1433362	2474	2471
GDAP1	13	3068	4061865	2262471	4025282
GDAP1L1	6	1229	4736505	5048776	9915924
GDAP2	4	509	369411	230855	550400
GDE1	79	4630	2601606	2005216	3946314
GDF1	0	0	2168253	976890	3996079
GDF10	88	172	49146	46937	35951
GDF11	35	3714	931041	787514	1030107
GDF15	0	61	5967	14478	25132
GDF2	11	18	11	0	75
GDF3	0	0	0	0	1649
GDF5	0	14	25923	4498	4304
GDF5OS	0	0	4301	1236	1275
GDF6	0	56	8514	748	9298
GDF7	0	30	5107	4550	5705
GDF9	26	62	118010	97605	140336
GDI1	19334	40714	44063180	25025566	62290412
GDI2	2792	5978	7800485	12092813	33660809
GDI2P1	29	92	348	420	0
GDI2P2	80	291	26323	29474	69600
GDNF	5	132	291981	244743	750752
GDNF-AS1	0	142	518954	234055	273263
GDPD1	996	2095	1226580	750574	605000
GDPD2	170	727	404612	14278	9185
GDPD3	2	400	64584	77763	92520
GDPD4	0	4	834	0	429
GDPD5	5	585	1049924	581110	1515997
GDPGP1	2	150	91901	55847	85208
GEM	1	318	59959	202185	124526
GEMIN2	8	512	697474	1131971	1490384
GEMIN4	4	424	833749	310267	1315330
GEMIN5	465	881	637716	348902	891811
GEMIN6	40	1063	334240	375700	464296
GEMIN7	4	513	160837	148947	309474
GEMIN8	406	848	748392	517427	976068
GEMIN8P2	0	8	150	150	150
GEMIN8P3	0	2	0	0	150
GEMIN8P4	5	51	12123	4181	8227
GEN1	5	406	556498	178594	542639
GET4	13	39	1460616	780532	1531764
GFAP	271082	462305	156060496	43401865	7915162
GFER	8	965	691257	395860	949138
GFI1	0	10	5714	2729	7904
GFI1B	0	2	4430	36168	72396
GFM1	15	1587	3875332	2798921	5411398
GFM2	5	567	1935157	1437093	2845611
GFOD1	5918	9867	1800741	503718	1313401
GFOD1-AS1	2	1	9664	2099	9345
GFOD2	47	2177	1141409	628772	1360114
GFPT1	9	1567	2590921	1745868	4778587
GFPT2	475	925	570789	30378	443941
GFRA1	320	1433	4276460	1718152	7265781
GFRA2	13	554	587354	26706	106360
GFRA3	6	2	3407	1342	3061
GFRA4	0	31	450	0	0
GFRAL	35	22	0	150	0
GGA1	3297	4620	6920818	4435182	8826366
GGA2	22	3330	1927527	980505	2407405
GGA3	705	1817	8309723	2793763	11574110
GGACT	27	67	18006	7724	17259
GGCT	327	1527	1782677	1317125	2440359
GGCX	789	1554	1134053	655670	1814775
GGH	2	247	558861	412601	1012528
GGN	0	51	76711	76510	79076
GGNBP1	1	13	2414	548	207
GGNBP2	4216	7039	3832422	2286025	4598351
GGPS1	14	2110	2670877	2162304	3282620
GGT1	144	230	1054296	778184	864936
GGT2	3	1	1718	1284	1020
GGT3P	4	5	2593	952	1542
GGT5	941	1513	1013865	894665	1589206
GGT6	0	2	149	350	0
GGT7	12	2766	816537	399461	1184453
GGT8P	32	19	1	75	0
GGTA1P	484	876	1444071	1609421	202804
GGTA2P	1	180	13981	10184	6843
GGTLC1	0	1	174	0	0
GGTLC2	0	1	16846	12309	15248
GGTLC3	0	1	2144	1758	0
GH1	0	4	0	0	0
GH2	0	0	0	0	0
GHc-1077H7.2	0	0	150	0	0
GHc-210E9.2	0	20	0	0	0
GHc-362H12.3	4	10	11946	10476	22259
GHc-602D8.2	0	0	0	0	0
GHDC	666	1057	467924	1321546	4549147
GHITM	1654	7940	2382820	2221535	3233885
GHR	9	325	115702	70222	402373
GHRH	0	1	3687	99	844
GHRHR	3	25	23732	7623	2035
GHRL	7	45	67949	29069	30785
GHRLOS	25	110	40087	19267	35863
GHSR	0	4	300	0	0
GID4	8	1317	502264	315678	842073
GID8	9	1092	598370	393572	893014
GIF	0	6	1035	375	375
GIGYF1	70	4768	1357095	523346	1012154
GIGYF2	2177	5575	22268618	8903153	23986069
GIMAP1	7	506	74408	42229	119096
GIMAP2	2	252	33760	28900	34910
GIMAP4	9	1717	312601	263870	739461
GIMAP5	5	1071	299416	266799	661238
GIMAP6	9	1092	123769	82461	324027
GIMAP7	7	1425	57816	83970	150360
GIMAP8	2	629	105728	86271	245364
GIMD1	0	0	0	0	0
GIN1	2	554	385317	322042	423913
GINM1	897	2546	707608	1131395	1291590
GINS1	2	195	212642	147243	421703
GINS2	7	224	86285	24301	199678
GINS3	2	197	326085	123657	621896
GINS4	8	182	69433	76872	98936
GIP	1	1	0	0	0
GIPC1	72	4220	6748345	4494157	9104496
GIPC2	0	72	8247	4784	20485
GIPC3	2	167	80321	37269	228830
GIPR	9	533	36334	7016	5709
GIT1	167	15417	18191468	10312678	16727387
GIT2	11	1065	12593794	5337901	18976716
GJA1	3443	21225	1985793	622029	601600
GJA10	0	0	0	0	0
GJA1P1	3	117	4640	2826	2053
GJA3	12	4	4349	750	2912
GJA4	226	420	35129	44414	334451
GJA5	0	86	65301	9525	304865
GJA6P	2	6	0	0	0
GJA8	0	0	0	0	0
GJA9	50	64	55090	42810	23162
GJB1	2243	3788	37960	15207	16677
GJB2	41	92	12104	1350	0
GJB3	4	23	7392	1061	3207
GJB4	2	8	1171	1185	1050
GJB5	36	57	15837	1571	3888
GJB6	641	2280	286349	29932	0
GJB7	7	7	5080	4319	9489
GJC1	692	1244	163841	130615	803859
GJC2	16	1548	14699	10275	20458
GJC3	0	54	16830	30862	4273
GJD2	0	44	23419	17017	380619
GJD3	0	0	11623	8665	42166
GJD4	6	11	1727	300	5065
GJE1	0	0	0	0	150
GK	138	240	513601	407412	701320
GK-AS1	19	18	6281	4538	6809
GK-IT1	22	46	514	636	648
GK2	0	0	150	300	0
GK3P	2	12	11084	8625	12355
GK5	12	690	1292858	1096452	1507407
GKAP1	16	1866	992302	876520	882515
GKN1	0	0	0	0	0
GKN2	0	0	0	0	0
GLA	168	411	391545	161637	485842
GLB1	128	589	2990206	1114118	4147725
GLB1L	55	321	326122	152034	306616
GLB1L2	29	765	383057	363063	722853
GLB1L3	4	544	54958	14680	109574
GLCCI1	396	1292	3464145	2539543	4482814
GLCE	2	675	772684	94142	439354
GLDC	9	434	892333	617663	2320025
GLDCP1	7	134	123980	68759	322670
GLDN	24	4248	187399	141121	76021
GLE1	819	1474	2162174	912979	2603421
GLG1	57	7299	12417518	3559006	14183713
GLI1	0	64	18818	2837	12791
GLI2	39	160	877838	163336	360715
GLI3	147	702	251855	114168	188901
GLI4	15	440	959177	713564	1410756
GLIPR1	0	279	704657	262733	554049
GLIPR1L1	1	22	25580	9731	13340
GLIPR1L2	9	1126	458174	185961	104334
GLIPR2	19	1241	568492	658924	865091
GLIS1	1	119	24715	26052	119139
GLIS2	6	615	2615491	1933755	2508662
GLIS3	2	956	260255	120796	254566
GLIS3-AS1	0	7	1726	455	3168
GLMN	3	308	408549	346527	464136
GLO1	1918	4725	3297939	2654232	4193083
GLOD4	10	2162	6812149	4595447	9418985
GLOD5	0	7	2076	2887	56
GLP1R	3	3	8493	1496	1269
GLP2R	1	87	379155	3898	0
GLRA1	14	23	136596	54129	8226
GLRA2	112	226	141609	114260	185074
GLRA3	1	390	745177	324789	778216
GLRA4	6	18	7722	1601	2778
GLRB	10	1235	2244604	831006	3394034
GLRX	15	1465	373833	369913	658032
GLRX2	4	342	107343	129538	202250
GLRX3	259	955	1001806	1493383	2647465
GLRX5	13	1964	1224087	1072621	1757962
GLRXP	1	30	0	0	0
GLRXP3	0	8	0	0	0
GLS	2059	5204	3238961	965372	2355362
GLS2	3	872	470947	278023	291421
GLT1D1	256	613	737987	45856	172675
GLT6D1	2	0	300	0	0
GLT8D1	334	1434	5172359	3268085	3700248
GLT8D2	1	156	114193	79077	209690
GLTP	244	7402	1218443	844050	2647446
GLTPD1	913	884	422843	161423	498013
GLTPD2	2	20	59382	20006	30670
GLTPP1	0	0	2325	900	4725
GLTSCR1	13	783	506841	180339	578237
GLTSCR1L	691	1513	1691229	736985	2155836
GLTSCR2	194	1436	9685083	8037389	20703860
GLUD1	3861	17115	19193147	12121007	8672511
GLUD1P2	11	5	76643	34469	70795
GLUD1P3	37	113	37417	17170	49602
GLUD1P4	0	0	0	0	0
GLUD1P6	1	0	1038	1394	2175
GLUD1P7	2	0	1385	749	459
GLUD1P8	1	0	2298	512	73
GLUD1P9	0	0	0	0	0
GLUD2	1051	4036	2092840	901111	817136
GLUDP5	0	0	0	59	0
GLUL	450	95577	114748817	88467717	18123350
GLULP3	0	428	0	0	0
GLULP4	6	577	2400	1800	675
GLULP5	0	0	0	0	0
GLULP6	4	157	0	0	0
GLYAT	35	101	522	0	0
GLYATL1	32	130	42229	18052	30657
GLYATL1P1	0	0	150	34	262
GLYATL1P2	0	2	18722	3933	47456
GLYATL1P3	0	0	494	887	5447
GLYATL1P4	0	0	3	0	1268
GLYATL2	8	22	74246	29466	18047
GLYATL3	1	0	0	0	0
GLYCAM1	0	0	0	0	0
GLYCTK	82	266	579573	108969	165780
GLYCTK-AS1	2	26	30350	4830	11380
GLYR1	21	1628	14418747	6898988	17962433
GM2A	3831	5344	1375129	872370	1326885
GM2AP1	14	36	0	0	0
GM2AP2	3	6	0	150	0
GMCL1	26	1377	719375	463420	964156
GMCL1P1	27	104	1950	2114	4275
GMDS	191	274	682512	534869	1373328
GMDS-AS1	246	394	367981	258950	346845
GMEB1	850	1333	590190	239727	419512
GMEB2	9	663	1211079	360472	1307942
GMFB	116	8491	6632843	7427543	8395423
GMFBP1	62	296	0	0	0
GMFG	3	423	295866	621094	543235
GMIP	1	526	1229808	612466	1247490
GML	0	6	0	0	0
GMNC	0	8	750	900	0
GMNN	169	387	517427	890707	831392
GMPPA	451	1354	1356080	1293665	2310547
GMPPB	0	2	554877	278468	450284
GMPR	246	911	133286	104852	20694
GMPR2	724	1605	7959741	8166699	12453015
GMPS	47	1999	1490610	1115203	2604761
GMPSP1	6	102	25837	20641	46350
GNA11	91	3938	4482626	1818798	5268462
GNA12	2118	7356	18444084	10898185	19777550
GNA13	1558	2978	2235725	2161548	3370624
GNA14	3	558	45143	7465	15348
GNA15	0	375	40548	10391	26874
GNAI1	34	4764	1576455	1496614	4013103
GNAI2	6718	18223	50214427	26404643	49142919
GNAI2P1	25	192	0	0	0
GNAI2P2	0	0	0	0	197
GNAI3	7	1928	592433	363273	725527
GNAL	1053	1930	3994203	1533572	3532765
GNAO1	304	28780	17134658	7887020	21069078
GNAQ	817	14964	5297596	2783502	5000773
GNAQP1	87	185	70845	34146	75439
GNAS	293	57618	610120850	318443979	1066213780
GNAS-AS1	0	19	15316	5027	10063
GNAT1	2	27	9711	3074	3359
GNAT2	0	15	4358	1395	1651
GNAT3	0	0	23	0	150
GNAZ	3451	4195	1145918	533446	1310163
GNB1	10879	21979	11836171	5021603	14184203
GNB1L	166	208	324907	153295	485624
GNB2	41	3876	22121960	12813925	33941488
GNB2L1	10320	15996	191311758	273295416	633502147
GNB3	3	457	649869	383659	1222448
GNB4	4	648	939949	1525182	4234762
GNB5	17	1975	3017903	2144463	2978172
GNE	25	1665	1401814	1300564	4546383
GNG10	48	115	466588	555719	672418
GNG11	13	2592	132503	395374	347621
GNG12	17	2646	258491	71325	235004
GNG12-AS1	0	74	39285	21463	24835
GNG13	0	15	25162	2463	2194
GNG2	8	1872	9824308	8850018	32466797
GNG3	57	377	657046	15557	8769
GNG4	21	1816	7344976	6677090	15335354
GNG5	65	1092	409462	342045	512017
GNG5P1	0	0	0	0	0
GNG5P2	67	228	2550	2595	3224
GNG5P3	0	3	961	1231	619
GNG5P5	0	0	0	0	61
GNG7	155	12994	1500308	838937	1891302
GNG8	6	182	9230	8882	8656
GNGT1	0	0	5	182	122
GNGT2	43	69	19039	10548	18075
GNL1	4880	7854	3525411	1940854	2607014
GNL2	545	987	632192	371169	840833
GNL3	319	1261	4385579	3079613	3102447
GNL3L	816	1366	698519	453984	957512
GNL3LP1	1	25	33241	28121	52266
GNLY	146	171	21264	29323	68128
GNMT	89	171	13485	25954	18338
GNPAT	15	2027	2169024	2359634	3945921
GNPATP	1	19	33	0	0
GNPDA1	806	2041	4001556	2200306	4864653
GNPDA2	6	998	1121502	736210	1007108
GNPNAT1	7	455	501036	458314	1231774
GNPTAB	36	4481	1805000	1215935	3253516
GNPTG	23	2781	4055881	1692778	6773899
GNRH1	1	130	10698	21618	13588
GNRH2	0	23	10371	3126	6758
GNRHR	0	22	12824	4675	7445
