./normal/GSM1112836.count	./normal/GSM916094.count	./cancer/CEMT_19.count	./cancer/CEMT_22.count	./cancer/CEMT_47.count
AC000003.2	0	31	0	192	0
AC000029.1	4	9	374	267	346
AC000032.2	0	1	695995	89011	115004
AC000036.4	1	2	1351	1660	2129
AC000041.8	0	0	22756	11184	32850
AC000067.1	3	4	208	106	860
AC000068.10	12	2	51204	47508	73535
AC000068.5	98	123	49366	20500	35316
AC000068.9	0	0	20134	16238	26020
AC000077.2	0	0	0	0	0
AC000078.5	11	12	5691	2967	2781
AC000081.2	4	6	1319	448	680
AC000089.3	75	197	134637	191933	300931
AC000095.9	0	0	45765	68287	178894
AC000099.1	0	4	470	392	375
AC000110.1	8	48	2100	750	2100
AC000111.3	0	0	0	0	0
AC000111.4	0	1	0	0	0
AC000111.5	0	0	0	0	0
AC000111.6	0	0	0	0	0
AC000120.7	0	81	79724	92460	111843
AC000123.4	0	55	8723	4008	9443
AC000124.1	0	1	0	0	150
AC000362.1	0	0	113	0	168
AC000367.1	0	6	1350	390	812
AC000370.2	0	13	132	0	0
AC000374.1	0	0	300	0	150
AC000403.1	0	0	1458	343	1065
AC002044.4	4	28	376	1614	610
AC002056.3	77	182	62736	50051	76618
AC002056.5	0	1	706	1239	4840
AC002059.10	44	82	3237	1207	694
AC002064.4	0	97	1342	286	850
AC002064.5	0	3	386	223	785
AC002066.1	0	8	377	75	149
AC002066.2	0	0	0	0	0
AC002069.5	8	26	450	150	525
AC002069.6	0	16	1050	0	0
AC002070.1	0	0	0	0	0
AC002075.3	1	0	0	0	0
AC002075.4	4	44	1646	4801	14422
AC002076.10	0	0	0	0	0
AC002115.5	0	0	0	237	47
AC002115.9	0	0	0	479	0
AC002116.7	0	10	375432	431785	384678
AC002116.8	0	0	95461	106687	104994
AC002117.1	24	31	81483	75130	107006
AC002127.2	0	1	0	260	0
AC002127.4	0	0	740	149	433
AC002128.5	1	20	452	1360	280
AC002306.1	0	26	1483	1404	375
AC002310.10	9	58	1833	4711	1016
AC002310.12	3	110	35536	41805	50146
AC002310.13	0	0	20599	7701	28591
AC002310.17	0	43	1893	3547	2013
AC002310.7	0	7	161391	124677	193835
AC002314.4	0	0	95	210	150
AC002331.1	0	0	0	75	0
AC002365.1	0	3	1013	1114	1121
AC002366.3	1	6	110	150	75
AC002368.4	0	0	1197	106	2608
AC002383.2	0	2	0	0	0
AC002386.1	0	3	0	279	0
AC002395.1	0	13	44	316	160
AC002398.11	0	169	67704	119420	117612
AC002398.12	0	0	89053	18519	20926
AC002398.13	5	56	9929	9627	13634
AC002398.5	1	97	3038	0	0
AC002398.9	0	0	229102	364830	258061
AC002400.1	0	8	5755	3004	2160
AC002401.1	1	1	209593	67367	113267
AC002429.4	0	0	141	75	426
AC002429.5	5	319	29795	12077	23660
AC002451.1	3	4	281	150	0
AC002451.3	0	121	14864	10488	1269
AC002454.1	0	9	1445	0	414
AC002456.2	0	54	5801	21531	5959
AC002463.3	0	2	143	557	0
AC002465.2	0	0	0	0	0
AC002467.7	1	125	79183	46095	35386
AC002472.1	50	71	219	930	829
AC002472.11	11	25	1588	2141	5826
AC002472.13	17	148	4684	6743	13169
AC002477.1	7	15	344	2130	1096
AC002480.2	0	1	60	102	0
AC002480.3	13	54	2424	2218	300
