symbol  TSC1	TSC2	MSC1	MSC2	NPC1	NPC2	ESC1	ESC2	MES1	MES2
ABCG1	307	277	1295	1295	630	740	398	463	118	118
ABCG2	12462	14069	564	621	243	288	1705	2060	9643	9643
ABCG4	30	37	151	134	183	239	713	766	128	128
ABCG5	8	6	5	5	15	7	16	3	13	13
ABCG8	11	9	0	1	0	0	4	0	12	12
ABHD1	38	44	32	21	58	76	49	38	24	24
ABHD10	3167	4034	6086	6846	12664	12942	4233	4527	5698	5698
ABHD11	3914	4205	1526	1575	3836	3914	1710	1722	2276	2276
ABHD12	10063	11594	12625	13294	5655	6009	8841	11123	5486	5486
ABHD12B	22	29	61	78	290	394	6026	6454	5101	5101
ABHD13	4551	5395	8356	8848	8033	8233	5599	6594	5276	5276
ABHD14A	473	574	2376	2339	2322	2314	622	711	319	319
ABHD14A-ACY1	12	7	8	14	4	11	10	8	9	9
ABHD14B	1572	1718	4942	4895	1479	1522	1188	1306	884	884
ABHD15	1224	1190	2904	2800	1547	1542	615	600	169	169
ABHD16A	403	504	469	410	477	502	401	422	401	401
ABHD16B	481	521	637	571	748	700	465	509	306	306
ABHD17A	7901	8729	9751	9538	7882	7664	5137	5563	5748	5748
ABHD17AP1	0	0	0	0	0	0	0	0	0	0
ABHD17AP2	0	0	0	0	0	0	0	0	0	0
ABHD17AP3	121	133	177	158	143	114	85	103	91	91
ABHD17AP4	6	3	4	5	5	9	7	5	5	5
ABHD17AP5	174	184	276	220	278	291	118	103	132	132
ABHD17AP6	58	83	82	91	39	73	29	47	43	43
ABHD17B	3490	4251	4945	4959	15449	15515	7632	8484	24111	24111
ABHD17C	8015	9263	2444	2645	6133	5882	4061	5058	5934	5934
ABHD2	11759	14207	16270	16171	11915	11719	15332	18993	8442	8442
ABHD3	2534	2865	1888	2247	1400	1454	1327	1477	1209	1209
ABHD4	11926	13094	12467	12813	9394	9170	7524	8445	12076	12076
ABHD5	9533	10192	2792	2742	1244	1208	1593	1607	3665	3665
ABHD6	2341	2520	2322	2421	7104	7101	1392	2246	934	934
ABHD8	4278	4812	1720	1729	3897	3813	1649	1787	1811	1811
ABI1	18128	20620	14182	14466	10910	11591	6046	7225	10357	10357
ABI2	14413	17684	20461	20461	119453	125679	42983	45589	29516	29516
ABI3	65	68	383	435	49	58	303	268	755	755
ABI3BP	188	294	178	190	151	175	94	98	65	65
ABL1	18913	22713	44224	45071	50305	51775	30971	35477	57071	57071
ABL2	9883	11328	11957	11198	18266	19341	8251	8945	9218	9218
ABLIM1	5840	6469	3900	3823	20433	20587	15617	17265	29125	29125
ABLIM2	689	832	16	9	273	314	206	265	221	221
ABLIM3	616	774	42418	41817	69	74	178	170	52	52
ABO	2	8	0	0	6	9	19	5	14	14
ABR	13615	16364	28771	28131	31441	31239	8220	9420	5798	5798
ABRA	5	2	2	2	4	6	2	0	2	2
ABRACL	12640	15226	10599	11217	22958	24431	17464	21324	34169	34169
ABT1	7258	8556	7375	7659	9473	8996	6187	7091	12680	12680
ABT1P1	7	5	6	1	6	11	1	1	5	5
ABTB1	932	968	1719	1682	1627	1772	1069	1213	347	347
ABTB2	35018	38061	325	395	800	885	2247	2628	2161	2161
AC000003.1	0	0	0	0	0	0	0	0	0	0
AC000003.2	2	0	0	0	1	0	2	2	0	0
AC000029.1	0	0	0	1	1	3	0	0	0	0
AC000032.2	3	0	4	0	16	9	1	3	1	1
AC000036.4	0	0	0	0	2	8	0	0	4	4
AC000041.8	0	0	0	0	0	0	0	0	0	0
AC000067.1	2	0	0	0	0	0	0	0	0	0
AC000068.10	10	10	4	2	28	28	28	27	3	3
AC000068.5	107	130	21	35	350	272	160	130	176	176
AC000068.9	0	0	0	0	0	0	0	0	0	0
AC000077.2	0	0	0	1	0	0	0	0	0	0
AC000078.5	6	10	22	40	27	10	7	8	10	10
